state,total_rep_votes,total_dem_votes,total_votes,pct_rep,pct_dem,political_leaning,imprisonment_rate_2022,crime_rate_person,crime_rate_property,crime_rate_society,incarceration_intensity,crime_rate_person_scaled,crime_rate_property_scaled,crime_rate_society_scaled,political_category
Indiana,1725099.5,1203049,2983449,0.578223224194548,0.40324101400761336,0.1749822101869346,452,0.01441455414570885,0.0232256310061354,0.00881158931109889,0.452,1.441455414570885,2.3225631006135403,0.881158931109889,Lean Republican
Iowa,912345.5,733169.5,1673860,0.545054843296333,0.4380112434731698,0.10704359982316324,340,0.01144667649541282,0.02442569031045921,0.00925671802358832,0.34,1.144667649541282,2.442569031045921,0.925671802358832,Lean Republican
Kansas,758451,551761,1338579,0.5666090682731464,0.4121990558644652,0.1544100124086812,381,0.01810065463060974,0.03716300124776024,0.01231276204443445,0.381,1.8100654630609738,3.7163001247760237,1.231276204443445,Lean Republican
Kentucky,1332070,738258.5,2105038.5,0.6328007777529959,0.3507102126635689,0.28209056508942704,561,0.01120544449471399,0.02445818839088632,0.00979445891996392,0.561,1.120544449471399,2.445818839088632,0.979445891996392,Strong Republican
Louisiana,1232140.5,811452,2077518.5,0.5930828052794717,0.3905871355658205,0.2024956697136512,775,0.01753888873147649,0.03417633998272488,0.01197515584557084,0.775,1.753888873147649,3.417633998272488,1.197515584557084,Strong Republican
Maine,368938,433062.5,822557.5,0.4485254830209438,0.526482951039897,-0.07795746801895315,130,0.00956780791590302,0.01787103735557654,0.00349281590459991,0.13,0.9567807915903019,1.787103735557654,0.349281590459991,Swing
Maryland,1005982,1943800,3026340,0.3324087842079872,0.642293992082846,-0.3098852078748588,322,0.0129491091108481,0.03448980904327868,0.00435167173785399,0.322,1.29491091108481,3.4489809043278683,0.43516717378539904,Strong Democrat
Massachusetts,1209255,2254373.5,3542419.5,0.34136414391350317,0.6363937133927814,-0.2950295694792782,116,0.01083840526612656,0.02082743990713586,0.00226479706626439,0.116,1.083840526612656,2.082743990713586,0.22647970662643901,Strong Democrat
Michigan,2733244,2770286.5,5600903,0.4880005956182422,0.494614261307507,-0.00661366568926474,408,0.0173281107455888,0.02737015053866472,0.00454890880717537,0.408,1.73281107455888,2.737015053866472,0.45489088071753697,Swing
Minnesota,1501548.5,1687028,3259043.5,0.4607328806749588,0.517645131155813,-0.05691225048085424,195,0.00861018329214183,0.02749931580073815,0.00482768208291012,0.195,0.861018329214183,2.749931580073815,0.482768208291012,Swing
Mississippi,752254,503033,1271593,0.5915839423463325,0.39559277221563816,0.1959911701306943,859,0.01173635272156835,0.02255602197937024,0.01040017994806044,0.859,1.173635272156835,2.255602197937024,1.040017994806044,Lean Republican
Missouri,1735361,1226806.5,3009779,0.5765742268784518,0.4076068375784402,0.1689673893000117,489,0.01455634022508844,0.03301835989004098,0.00713956562287349,0.489,1.455634022508844,3.3018359890040982,0.713956562287349,Lean Republican
Montana,347840.5,238346,604356.5,0.5755551566004502,0.3943798072826221,0.18117534931782808,522,0.01411364772773451,0.02823259602422006,0.00495161464158437,0.522,1.411364772773451,2.823259602422006,0.495161464158437,Lean Republican
Nebraska,560831,372289,951769,0.5892511733414305,0.3911547865080708,0.19809638683335973,374,0.01060767475753923,0.0250820027971087,0.00846175313860088,0.374,1.060767475753923,2.50820027971087,0.8461753138600879,Lean Republican
Nevada,710547.5,704341.5,1445108,0.4916916244322224,0.4873971357158081,0.00429448871641424,411,0.0203460977248909,0.03994124410853683,0.00929934888212295,0.411,2.03460977248909,3.9941244108536833,0.929934888212295,Swing
New Hampshire,380616,421708.5,813291.5,0.46799456283509666,0.5185207271931405,-0.0505261643580438,182,0.01017173711237235,0.018313533330983182,0.00467679580733481,0.182,1.017173711237235,1.8313533330983183,0.46767958073348104,Swing
New Jersey,1925744.5,2414524,4418479.5,0.4358387314007002,0.5464603830344805,-0.11062165163378036,174,0.008618561649769,0.02399375010431063,0.00245259131452059,0.174,0.8618561649768999,2.399375010431063,0.24525913145205902,Lean Democrat
New Mexico,412642.5,490208,923684,0.4467355719055434,0.530709636628977,-0.0839740647234335,295,0.02212444749857898,0.05258996971316587,0.00877215308000984,0.295,2.212444749857898,5.258996971316587,0.877215308000984,Swing
New York,3414564.5,4931600.5,8407149.5,0.4061500868992517,0.5865960275834277,-0.180445940684176,199,0.02095398556197907,0.03345811588274189,0.00366879072661668,0.199,2.0953985561979067,3.345811588274189,0.36687907266166797,Lean Democrat
North Carolina,2828598,2699833.5,5602224,0.5049062657972977,0.4819217332259474,0.0229845325713503,341,0.01419331425474521,0.03299826818824548,0.01082190434810644,0.341,1.419331425474521,3.299826818824548,1.082190434810644,Swing
North Dakota,241050,113614.5,363439,0.6632474775684503,0.3126095438299137,0.3506379337385366,300,0.01643522475335682,0.03102588764755857,0.01708579636343226,0.3,1.6435224753356819,3.102588764755857,1.708579636343226,Strong Republican
Ohio,3167475,2606432,5843609.5,0.5420408396556957,0.4460311730275611,0.0960096666281346,492,0.01423164212918391,0.02620042113062549,0.00647016573243712,0.492,1.423164212918391,2.6200421130625493,0.647016573243712,Swing
Oklahoma,1028246.5,501744.5,1563436,0.6576837811077652,0.32092423354713595,0.3367595475606292,737,0.01688849836598727,0.03347530627871363,0.00898312309562526,0.737,1.688849836598727,3.3475306278713632,0.8983123095625261,Strong Republican
Oregon,934575,1284396.5,2290956.5,0.4079409626503166,0.5606376637880292,-0.15269670113771255,367,0.01027881790480897,0.0406765503480554,0.00355383387790329,0.367,1.027881790480897,4.06765503480554,0.355383387790329,Lean Democrat
Pennsylvania,3460785.5,3441482.5,6979730.5,0.49583368584216825,0.49306810628290015,0.00276557955926809,366,0.01323770978152681,0.03436901485800851,0.00701039073805552,0.366,1.323770978152681,3.436901485800851,0.7010390738055521,Swing
Rhode Island,207121.5,295683,513521,0.40333598820690875,0.5757953423521142,-0.1724593541452054,152,0.00897722164765729,0.02144264116329297,0.00276735236828352,0.152,0.897722164765729,2.144264116329297,0.276735236828352,Lean Democrat
South Carolina,1434425,1059996.5,2530734.5,0.5668018513992676,0.4188493498626584,0.14795250153660922,383,0.01829429714730592,0.03501511583336938,0.01143773425067376,0.383,1.8294297147305918,3.501511583336938,1.143773425067376,Lean Republican
South Dakota,266562,148665,425765.5,0.6260770306659417,0.34917108126421703,0.27690594940172464,486,0.0165460578140677,0.02684233033124099,0.01504876277705584,0.486,1.65460578140677,2.684233033124099,1.504876277705584,Strong Republican
Tennessee,1909670,1099988,3058896.5,0.6243002991438252,0.35960288293507153,0.2646974162087537,427,0.02078461949109717,0.03672028541625333,0.01331363086143975,0.427,2.078461949109717,3.672028541625333,1.331363086143975,Strong Republican
Texas,6141972,5047188,11349008,0.5411902079899846,0.4447250367609222,0.09646517122906244,601,0.01546152682436484,0.03313262469024314,0.00749556651866458,0.601,1.546152682436484,3.313262469024314,0.749556651866458,Swing
Utah,874479,561424,1488120,0.5876401096685752,0.3772706502163804,0.21036945945219476,243,0.01206693242841389,0.02853384638508236,0.01388145786780171,0.243,1.206693242841389,2.853384638508236,1.388145786780171,Strong Republican
Vermont,116049.5,239305.5,366908.5,0.31629002871288076,0.6522211941124286,-0.33593116539954787,153,0.00633703186586435,0.02586089728540892,0.00227039650080931,0.153,0.633703186586435,2.586089728540892,0.227039650080931,Strong Democrat
Virginia,2018757.5,2374481.5,4471550,0.4514670528116649,0.5310197806129866,-0.07955272780132172,397,0.01323791751734371,0.02899089019688433,0.00632762589417904,0.397,1.323791751734371,2.899089019688433,0.632762589417904,Swing
Washington,1557787,2307730.5,3993233,0.3901067130317715,0.5779103047580745,-0.18780359172630295,220,0.01156495466720287,0.0458795748487403,0.00271635873362051,0.22,1.156495466720287,4.58795748487403,0.27163587336205103,Lean Democrat
West Virginia,539469,225146.5,778521,0.692940845526325,0.2891977223478879,0.4037431231784371,413,0.01040067280316649,0.01891937421075507,0.00780307647992263,0.413,1.0400672803166489,1.8919374210755069,0.780307647992263,Strong Republican
Wisconsin,1653845.5,1649451,3356282.5,0.4927611129277706,0.49145177737571255,0.00130933555205797,394,0.00884495036544467,0.02044773393308385,0.01085599736874958,0.394,0.884495036544467,2.0447733933083847,1.0855997368749581,Swing
Wyoming,193096,71509,271559,0.7110646305222806,0.26332767464897133,0.4477369558733093,475,0.01333858775202767,0.02542116236542023,0.01142447808480321,0.475,1.333858775202767,2.542116236542023,1.142447808480321,Strong Republican
