state,total_rep_votes,total_dem_votes,total_votes,pct_rep,pct_dem,political_leaning,imprisonment_rate_2022,crime_rate_person,crime_rate_property,crime_rate_society,incarceration_intensity,crime_rate_person_scaled,crime_rate_property_scaled,crime_rate_society_scaled,political_category
Alabama,1451892,811030,2289828,0.6340615976396481,0.3541881748323455,0.2798734228073026,500,0.01671938420374179,0.02784775441107293,0.00936551047217578,0.5,1.6719384203741792,2.784775441107293,0.936551047217578,Strong Republican
Alaska,374299,293095,715443,0.523170958413179,0.4096692538748719,0.11350170453830705,270,0.01615403534978597,0.02242475252216413,0.00525982070126429,0.27,1.6154035349785971,2.242475252216413,0.525982070126429,Lean Republican
Arizona,1715964,1627501.5,3388322.5,0.5064346737950711,0.4803266218017913,0.02610805199327981,567,0.01351072900078033,0.02707436955666999,0.010302266937505,0.567,1.351072900078033,2.707436955666999,1.0302266937505,Swing
Arkansas,759944,410418.5,1200872.5,0.6328265490299761,0.3417669236326088,0.29105962539736735,743,0.02123271152459925,0.03685267483527877,0.011446544720015,0.743,2.123271152459925,3.6852674835278774,1.1446544720015,Strong Republican
California,6043829,10192971.5,16679221,0.3623567911235183,0.6111179592859882,-0.2487611681624699,319,0.01131442674777345,0.03149474665052464,0.00810714642576351,0.319,1.131442674777345,3.149474665052464,0.8107146425763511,Strong Democrat
Colorado,1371024,1766255.5,3223913,0.4252670590056245,0.5478607828437058,-0.12259372383808126,363,0.01233810297415985,0.04519024720001937,0.00695033758120076,0.363,1.233810297415985,4.519024720001937,0.6950337581200761,Lean Democrat
Connecticut,1452209,2072733,3582709,0.40533825102736504,0.5785379164202283,-0.1731996653928633,213,0.00836094234839554,0.02702107942770824,0.00284282545278416,0.213,0.8360942348395539,2.702107942770824,0.284282545278416,Lean Democrat
Delaware,207477,293013,507853.5,0.4085371076501393,0.5769636322285856,-0.1684265245784463,341,0.01646784056440124,0.03651939644729574,0.0109197685799843,0.341,1.646784056440124,3.6519396447295738,1.09197685799843,Lean Democrat
District of Columbia,39662,611508,670225,0.05917714200455071,0.9123921071282032,-0.8532149651236525,377.5,0.0352208927614099,0.0836529341416141,0.00911377788774794,0.3775,3.52208927614099,8.365293414161409,0.9113777887747939,Strong Democrat
Florida,5889428,4990041.5,10980501.5,0.5363532804034497,0.45444568264937624,0.08190759775407341,466,0.01159456644128574,0.02171526500353154,0.00537239189296494,0.466,1.1594566441285739,2.171526500353154,0.537239189296494,Swing
Georgia,2562485.5,2510825,5123881.5,0.5001063158857206,0.49002401792469247,0.01008229796102816,565,0.01316121723682764,0.02732247309283158,0.0053618270237191,0.565,1.316121723682764,2.732247309283158,0.53618270237191,Swing
Hawaii,195262.5,339587,545585,0.3578956532895882,0.6224273028034129,-0.26453164951382463,219,0.00869394162335695,0.0207123382524776,0.00203716307927153,0.219,0.869394162335695,2.0712338252477602,0.203716307927153,Strong Democrat
Idaho,579682,280996.5,886458.5,0.6539302178274561,0.31698776648878657,0.3369424513386695,603,0.00954191162085306,0.01474245777780729,0.01473224159834171,0.603,0.954191162085306,1.474245777780729,1.4732241598341709,Strong Republican
Illinois,2447985,3267389,5815609,0.4209335600106541,0.5618309277669802,-0.1408973677563261,301,0.01703099101419898,0.0325631591970527,0.00367217391661146,0.301,1.7030991014198982,3.25631591970527,0.367217391661146,Lean Democrat
