State,Population,Total Offenses
Total,"278,449,430","1,986,224"
Alabama,"4,715,066","44,159"
Alaska,"443,171","2,331"
Arizona,"4,649,268","47,898"
Arkansas,"2,981,249","34,125"
California,"25,009,663","202,757"
Colorado,"5,822,451","40,468"
Connecticut,"3,617,176","10,283"
Delaware,"1,031,890","11,268"
District of Columbia,"678,972","6,188"
Florida,"9,583,627","51,487"
Georgia,"10,098,610","54,147"
Hawaii,"1,270,885","2,589"
Idaho,"1,957,679","28,841"
Illinois,"11,210,798","41,168"
Indiana,"5,854,222","51,585"
Iowa,"2,998,687","27,758"
Kansas,"2,705,648","33,314"
Kentucky,"4,524,497","44,315"
Louisiana,"3,423,421","40,996"
Maine,"1,395,722","4,875"
Maryland,"5,986,435","26,051"
Massachusetts,"6,971,044","15,788"
Michigan,"9,517,887","43,296"
Minnesota,"5,732,979","27,677"
Mississippi,"1,711,605","17,801"
Missouri,"6,100,091","43,552"
Montana,"1,131,954","5,605"
Nebraska,"1,902,679","16,100"
Nevada,"3,181,298","29,584"
New Hampshire,"1,361,616","6,368"
New Jersey,"6,291,305","15,430"
New Mexico,"1,885,968","16,544"
New York,"13,603,665","49,909"
North Carolina,"10,421,456","112,780"
North Dakota,"783,926","13,394"
Ohio,"11,239,743","72,723"
Oklahoma,"4,053,824","36,416"
Oregon,"4,175,772","14,840"
Pennsylvania,"5,502,689","38,576"
Rhode Island,"1,094,548","3,029"
South Carolina,"5,363,912","61,351"
South Dakota,"844,189","12,704"
Tennessee,"7,121,949","94,819"
Texas,"30,161,963","226,081"
Utah,"3,399,787","47,194"
Vermont,"647,464","1,470"
Virginia,"8,715,117","55,146"
Washington,"7,758,180","21,074"
West Virginia,"1,555,284","12,136"
Wisconsin,"5,743,277","62,349"
Wyoming,"515,122","5,885"
